Running object 17999
('ROW:', 17999, 'Tau:', '2.930635198725901', 'V:', '-0.5747739228920569', 'dMu:', '-0.036314921025907596')
         12253849 function calls (12171010 primitive calls) in 95.101 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1847    0.003    0.000    0.005    0.000 lines.py:1432(set_solid_joinstyle)
      488    0.003    0.000    0.004    0.000 font_manager.py:1168(score_stretch)
  817/492    0.003    0.000    0.018    0.000 transforms.py:2392(get_affine)
      404    0.003    0.000    0.009    0.000 axis.py:590(update_position)
     1564    0.003    0.000    0.003    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        1    0.003    0.003    0.023    0.023 _axes.py:1(<module>)
    14480    0.003    0.000    0.003    0.000 util.py:123(_notify)
        1    0.003    0.003    0.003    0.003 hashlib.py:56(<module>)
     1877    0.003    0.000    0.004    0.000 backend_pdf.py:2169(fill)
     1557    0.003    0.000    0.003    0.000 {method 'decode' of 'str' objects}
      269    0.003    0.000    0.003    0.000 function_base.py:1851(diff)
     1047    0.003    0.000    0.024    0.000 sre_compile.py:228(_compile_charset)
      419    0.003    0.000    0.003    0.000 {method 'splitlines' of 'str' objects}
      180    0.003    0.000    1.044    0.006 axis.py:729(cla)
      200    0.003    0.000    0.006    0.000 cycler.py:349(by_key)
      232    0.003    0.000    0.005    0.000 twodim_base.py:197(diag)
